"Libellé";"Nuitées dans l'hôtellerie - Total - La Réunion";"Codes"
"idBank";"010598608";""
"Dernière mise à jour";"04/12/2025 15:30";""
"Période";"";""
"2025-10";"169.26";"P"
"2025-09";"130.16";"A"
"2025-08";"155.34";"A"
"2025-07";"144.02";"A"
"2025-06";"102.4";"A"
"2025-05";"141.83";"A"
"2025-04";"119.79";"A"
"2025-03";"119.52";"A"
"2025-02";"101.35";"A"
"2025-01";"139.76";"A"
"2024-12";"141.66";"A"
"2024-11";"152.31";"A"
"2024-10";"158.75";"A"
"2024-09";"123.53";"A"
"2024-08";"153.26";"A"
"2024-07";"130.88";"A"
"2024-06";"93.66";"A"
"2024-05";"133.23";"A"
"2024-04";"111.08";"A"
"2024-03";"125.2";"A"
"2024-02";"96.72";"A"
"2024-01";"128.59";"A"
"2023-12";"143.38";"A"
"2023-11";"149.0";"A"
"2023-10";"157.74";"A"
"2023-09";"122.4";"A"
"2023-08";"138.95";"A"
"2023-07";"129.45";"A"
"2023-06";"95.89";"A"
"2023-05";"134.09";"A"
"2023-04";"122.99";"A"
"2023-03";"120.24";"A"
"2023-02";"102.37";"A"
"2023-01";"141.67";"A"
"2022-12";"147.85";"A"
"2022-11";"144.22";"A"
"2022-10";"164.62";"A"
"2022-09";"121.81";"A"
"2022-08";"152.06";"A"
"2022-07";"147.98";"A"
"2022-06";"101.36";"A"
"2022-05";"137.08";"A"
"2022-04";"121.86";"A"
"2022-03";"126.11";"A"
"2022-02";"94.35";"A"
"2022-01";"137.84";"A"
"2021-12";"148.19";"A"
"2021-11";"153.18";"A"
"2021-10";"147.83";"A"
"2021-09";"78.55";"A"
"2021-08";"82.23";"A"
"2021-07";"135.68";"A"
"2021-06";"67.92";"A"
"2021-05";"88.2";"A"
"2021-04";"58.2";"A"
"2021-03";"98.3";"A"
"2021-02";"79.94";"A"
"2021-01";"139.65";"A"
"2020-12";"106.05";"A"
"2020-11";"71.81";"A"
"2020-10";"128.61";"A"
"2020-09";"77.15";"A"
"2020-08";"116.56";"A"
"2020-07";"106.11";"A"
"2020-06";"29.06";"A"
"2020-05";"15.11";"A"
"2020-04";"9.94";"A"
"2020-03";"";"O"
"2020-02";"";"O"
"2020-01";"";"O"
"2019-12";"135.05";"A"
"2019-11";"146.82";"A"
"2019-10";"155.64";"A"
"2019-09";"119.74";"A"
"2019-08";"142.75";"A"
"2019-07";"130.96";"A"
"2019-06";"99.22";"A"
"2019-05";"121.77";"A"
"2019-04";"122.24";"A"
"2019-03";"121.69";"A"
"2019-02";"102.31";"A"
"2019-01";"133.47";"A"
"2018-12";"118.61";"A"
"2018-11";"129.4";"A"
"2018-10";"154.07";"A"
"2018-09";"116.82";"A"
"2018-08";"131.71";"A"
"2018-07";"122.83";"A"
"2018-06";"94.09";"A"
"2018-05";"125.23";"A"
"2018-04";"126.05";"A"
"2018-03";"118.67";"A"
"2018-02";"100.82";"A"
"2018-01";"123.83";"A"
"2017-12";"138.31";"A"
"2017-11";"142.33";"A"
"2017-10";"146.98";"A"
"2017-09";"111.17";"A"
"2017-08";"123.11";"A"
"2017-07";"104.75";"A"
"2017-06";"78.64";"A"
"2017-05";"99.3";"A"
"2017-04";"109.66";"A"
"2017-03";"93.82";"A"
"2017-02";"82.57";"A"
"2017-01";"111.81";"A"
"2016-12";"107.64";"A"
"2016-11";"118.62";"A"
"2016-10";"119.14";"A"
"2016-09";"86.57";"A"
"2016-08";"98.61";"A"
"2016-07";"97.39";"A"
"2016-06";"70.3";"A"
"2016-05";"98.28";"A"
"2016-04";"92.75";"A"
"2016-03";"90.86";"A"
"2016-02";"81.87";"A"
"2016-01";"97.23";"A"
"2015-12";"100.56";"A"
"2015-11";"116.74";"A"
"2015-10";"111.5";"A"
"2015-09";"79.75";"A"
"2015-08";"88.82";"A"
"2015-07";"76.41";"A"
"2015-06";"67.08";"A"
"2015-05";"85.73";"A"
"2015-04";"82.33";"A"
"2015-03";"77.01";"A"
"2015-02";"69.18";"A"
"2015-01";"78.77";"A"
"2014-12";"86.59";"A"
"2014-11";"101.54";"A"
"2014-10";"100.95";"A"
"2014-09";"68.1";"A"
"2014-08";"78.7";"A"
"2014-07";"66.87";"A"
"2014-06";"59.6";"A"
"2014-05";"72.09";"A"
"2014-04";"73.13";"A"
"2014-03";"76.49";"A"
"2014-02";"64.71";"A"
"2014-01";"71.54";"A"
"2013-12";"85.56";"A"
"2013-11";"98.89";"A"
"2013-10";"94.29";"A"
"2013-09";"67.72";"A"
"2013-08";"77.15";"A"
"2013-07";"70.21";"A"
"2013-06";"59.12";"A"
"2013-05";"79.79";"A"
"2013-04";"67.85";"A"
"2013-03";"83.55";"A"
"2013-02";"63.58";"A"
"2013-01";"78.71";"A"
"2012-12";"84.36";"A"
"2012-11";"101.39";"A"
"2012-10";"90.98";"A"
"2012-09";"65.74";"A"
"2012-08";"72.78";"A"
"2012-07";"69.61";"A"
"2012-06";"51.96";"A"
"2012-05";"75.87";"A"
"2012-04";"77.34";"A"
"2012-03";"76.51";"A"
"2012-02";"69.21";"A"
"2012-01";"80.89";"A"
"2011-12";"89.72";"A"
"2011-11";"103.7";"A"
"2011-10";"103.73";"A"
"2011-09";"67.52";"A"
"2011-08";"75.14";"A"
"2011-07";"66.25";"A"
"2011-06";"54.72";"A"
"2011-05";"77.1";"A"
"2011-04";"84.51";"A"
"2011-03";"79.48";"A"
"2011-02";"73.8";"A"
"2011-01";"84.71";"A"
